discoveryID,name,field,description
D018,Self-psychology,Psychology; Philosophy,Developed a philosophical and psychological system treating the conscious self as central to psychological experience.
D019,Cytogenetic basis of trisomy 21,Genetics; Cytogenetics; Medicine,"Developed cell-culture and chromosome-analysis methods and observed that cells from patients with Down syndrome contained 47 chromosomes rather than 46, establishing the cytogenetic basis of trisomy 21."
D020,Chromosome analysis in diagnosis,Genetics; Cytogenetics; Medicine,Helped establish chromosome counting and karyotyping as diagnostic methods for identifying chromosomal abnormalities.
D021,Environmental enrichment and neuroplasticity,Neuroscience; Neuroanatomy,Demonstrated with collaborators that environmental conditions and experience can produce measurable structural changes in the mammalian cerebral cortex.
D022,Lifespan neuroplasticity,Neuroscience; Neuroanatomy,Provided evidence that older brains can also undergo structural changes in response to environmental input.
D023,Analysis of Einstein's brain,Neuroscience; Neuroanatomy; Anatomy,"Analyzed preserved sections of Albert Einstein's brain and reported regional differences in glial-cell density, contributing to increased scientific attention to glia."
D024,Lambda phage,Microbiology; Virology; Molecular Biology,"Discovered bacteriophage lambda, a virus that infects E. coli, and investigated its lysogenic behavior."
D025,F fertility factor,Bacterial Genetics; Microbiology,"Identified the bacterial F factor, later understood as genetic material enabling bacterial conjugation."
D026,Replica plating,Microbiology; Bacterial Genetics,"Developed and implemented replica plating with Joshua Lederberg, allowing bacterial colonies to be transferred while preserving their spatial arrangement."
D027,Specialized transduction,Bacterial Genetics; Virology,Contributed to understanding how bacteriophages can transfer particular bacterial genes between cells.
D028,Transposable genetic elements,Genetics; Cytogenetics; Molecular Biology,Demonstrated that genetic elements can move to different positions on chromosomes and alter the expression of nearby genes.
D029,Activator and Dissociation elements,Genetics; Plant Biology,Identified the Activator (Ac) and Dissociation (Ds) elements in maize and demonstrated that their movement could alter genes controlling kernel pigmentation.
D030,Chromosome breakage studies,Cytogenetics; Genetics,Characterized the behavior of the Dissociation element and showed that it could cause chromosome breakage at particular sites.
D031,Cytogenetic mapping,Cytogenetics; Genetics,Developed detailed methods for correlating visible chromosome structures with genetic traits and tracking chromosome behavior during inheritance.
D032,Genome regulation,Genetics; Molecular Biology,Demonstrated that genomes are dynamically regulated rather than consisting of genes fixed permanently in immutable positions.
D033,Noether's theorem,Mathematical Physics; Theoretical Physics; Mathematics,"Established the fundamental relationship between continuous symmetries and conservation laws, including the relationship between time symmetry and energy conservation."
D034,Noetherian rings,Abstract Algebra; Mathematics,"Formalized the ascending-chain condition on ideals, creating a foundational concept in commutative algebra."
D035,Ideal theory,Abstract Algebra; Mathematics,"Developed structural approaches to the study of ideals in rings, helping shift algebra toward the study of general mathematical structures."
D036,Invariant theory,Mathematics; Abstract Algebra,Made major contributions to the study of mathematical quantities and structures that remain invariant under transformations.
D037,Cori cycle,Biochemistry; Metabolism; Physiology,"Demonstrated the metabolic relationship between muscle and liver in carbohydrate metabolism, in which lactate produced by muscle is transported to the liver and converted toward glucose."
D038,Glucose-1-phosphate / Cori ester,Biochemistry; Metabolism,"With Carl Cori, identified glucose-1-phosphate as a key intermediate in glycogen breakdown."
D039,Glycogen phosphorylase,Biochemistry; Enzymology,"Helped identify and characterize glycogen phosphorylase, the enzyme responsible for initiating glycogen breakdown."
D040,Enzyme regulation,Biochemistry; Enzymology,Contributed to the discovery that glycogen phosphorylase exists in different functional forms and helped establish principles of enzyme activation and inactivation.
D041,In-vitro glycogen synthesis,Biochemistry; Metabolism,"Demonstrated experimentally that glycogen could be synthesized, helping establish biochemical pathways as sequences of enzyme-catalyzed reactions."
